tech_id,branch,name,year,starting,chance_pct,cost,effect
100,Machinery,Diesel-Electric Drive,2025,1,100,0,Baseline locomotion; gradual reliability gains
101,Machinery,Hydraulic Leg Actuators,2025,1,100,0,Baseline gait; 1% weight saving on machinery
102,Machinery,Compact Powerpack,2029,0,45,600,3% weight saving on machinery
103,Machinery,Hybrid Capacitor Bank,2036,0,38,1100,Gradual top-speed improvement; enables coil/rail power draw
104,Machinery,Electro-Active Muscles,2044,0,30,1900,5% weight saving; improved turn rate
105,Machinery,High-Density Fuel Cells,2051,0,28,2600,Extended operational range; 3% weight saving
106,Machinery,Superconducting Drive,2060,0,20,4200,Large speed gain; required for heavy railgun power
107,Machinery,Adaptive Gait AI,2066,0,18,5100,Gradual mobility and stability improvement on rough terrain
120,Armour,RHA Steel,2025,1,100,0,Baseline armour tier (quality 1.00)
121,Armour,Face-Hardened Plate,2031,0,50,800,Unlocks Face-Hardened tier (quality 1.12)
122,Armour,Spaced Armour Arrays,2037,0,40,1300,Improved resistance to shaped charges; gradual protection gain
123,Armour,Composite Laminate,2040,0,34,2000,Unlocks Composite tier (quality 1.30; lighter)
124,Armour,All-or-Nothing Layout,2046,0,30,2400,Concentrates armour on vitals; better budget efficiency
125,Armour,Ceramic-Composite,2048,0,28,3100,Unlocks Ceramic-Composite tier (quality 1.52)
126,Armour,Reactive Composite,2057,0,22,4500,Unlocks Reactive tier (quality 1.78)
127,Armour,Nano-Lattice Armor,2065,0,17,6800,Unlocks Nano-Lattice tier (quality 2.10; much lighter)
140,Hull / Chassis,Skirmisher Frame,2025,1,100,0,Unlocks Skirmisher and Line chassis
141,Hull / Chassis,Siege Frame,2025,1,100,0,Unlocks Siege (dreadnought-crab) chassis
142,Hull / Chassis,Recon Frame,2027,0,55,500,Unlocks Recon chassis
143,Hull / Chassis,Spider Multi-Leg Layout,2029,0,42,1200,Unlocks Spider chassis (stable gun platform)
144,Hull / Chassis,Reinforced Subframe,2035,0,38,1500,3% mass-budget efficiency; higher mount limit
145,Hull / Chassis,Modular Mount Bays,2042,0,32,2100,Adds one utility mount slot to medium+ chassis
146,Hull / Chassis,Lightweight Exostructure,2050,0,26,2900,5% mass saving across all chassis
147,Hull / Chassis,Drone-Carrier Frame,2056,0,24,3800,Unlocks Carrier-Crab chassis (extra utility mounts)
160,Fire Control,Iron Sights & Optics,2025,1,100,0,Baseline crude fire control
161,Fire Control,Mechanical Rangefinder,2028,0,50,700,Gradual accuracy improvement at medium range
162,Fire Control,Director Firing,2036,0,40,1400,Enables centralised director control of mounts
163,Fire Control,Gun Stabilisation,2039,0,35,1800,Accuracy on the move; gradual improvement
164,Fire Control,Analog Ballistic Computer,2043,0,32,2300,Computed lead; accuracy gain at long range
165,Fire Control,Radar-Cued Solutions,2048,0,28,3000,Couples sensors to guns; large long-range accuracy gain
166,Fire Control,Networked Fire Solutions,2054,0,24,3700,Datalinked cooperative targeting across a lance
167,Fire Control,Predictive Targeting AI,2063,0,19,4900,Gradual accuracy gain vs fast and evasive targets
180,Damage Control,Manual Repair Drills,2025,1,100,0,Baseline damage control
181,Damage Control,Fire Suppression Foam,2030,0,48,700,Reduces fire/ammo-cook-off severity
182,Damage Control,Redundant Hydraulics,2037,0,40,1300,Gradual mobility-kill resistance improvement
183,Damage Control,Automated Repair Bots,2046,0,30,2200,Faster in-battle repair of subsystems
184,Damage Control,Self-Sealing Lines,2052,0,27,2800,Reduces leak/coolant loss; gradual survivability gain
185,Damage Control,Distributed Control Mesh,2061,0,21,4000,Tolerates EW/comms damage; gradual control resilience
200,Mountings,Single Mount,2025,1,100,0,Baseline single weapon mount
201,Mountings,Pintle Mount,2025,1,100,0,Light flexible mount for autocannons
202,Mountings,Twin Mount,2032,0,44,900,Enables twin mounts
203,Mountings,Powered Traverse,2038,0,38,1400,Faster mount slew; gradual ROF benefit
204,Mountings,Triple Mount,2045,0,30,2100,Enables triple mounts
205,Mountings,Auto-Loading Cradle,2050,0,27,2700,Gradual ROF improvement on large calibres
206,Mountings,Rail/Coil Mount Rails,2046,0,26,3200,Enables mounting of rail and coil guns
220,Guns & AP,Conventional Cannon,2025,1,100,0,Baseline conventional guns (20-305mm)
221,Guns & AP,Improved Propellant,2029,0,46,800,Gradual muzzle-velocity and range improvement
222,Guns & AP,Capped AP Shot,2033,0,40,1300,Gradual vertical penetration improvement
223,Guns & AP,Siege Ordnance,2034,0,36,1900,Unlocks 203mm and 305mm siege guns
224,Guns & AP,Long-Rod Penetrators,2042,0,32,2400,Gradual penetration gain; better velocity retention
225,Guns & AP,Coilgun Principles,2047,0,27,3300,Unlocks coil guns (high velocity for calibre)
226,Guns & AP,Railgun Principles,2045,0,26,3600,Unlocks rail guns (very high velocity and range)
227,Guns & AP,Hypervelocity Sabot,2055,0,22,4400,Gradual penetration gain for rail/coil calibres
228,Guns & AP,Smart Fuzing,2060,0,20,4800,Improved plunging/top-attack effect at long range
240,Sensors,Optical Spotting,2025,1,100,0,Baseline visual detection range
